epoch,learning_rate,step,train_loss,val_loss
0,,61,,0.6276475787162781
0,0.00019999999494757503,61,0.6892896890640259,
1,,123,,0.5757048726081848
1,0.00019999999494757503,123,0.5760449171066284,
2,,185,,0.6410831809043884
2,0.00019999999494757503,185,0.4760414659976959,
3,,247,,0.8933693766593933
3,0.00019999999494757503,247,0.5105729103088379,
4,,309,,0.5724316835403442
4,0.00019999999494757503,309,0.4741351306438446,
5,,371,,0.9229105710983276
5,0.00019999999494757503,371,0.4549460709095001,
6,,433,,0.6349064111709595
6,0.00019999999494757503,433,0.40746381878852844,
7,,495,,0.9195044040679932
7,0.00019999999494757503,495,0.49791714549064636,
8,,557,,0.6515359878540039
8,0.00019999999494757503,557,0.4128149151802063,
9,,619,,0.8634934425354004
9,0.00019999999494757503,619,0.3748493492603302,
10,,681,,0.6503482460975647
10,0.00019999999494757503,681,0.382305771112442,
11,,743,,0.8944729566574097
11,0.00019999999494757503,743,0.3898581266403198,
12,,805,,0.9270648956298828
12,0.00019999999494757503,805,0.4171818196773529,
