epoch,learning_rate,step,train_loss,val_loss
0,,499,,0.897459864616394
0,9.999999747378752e-05,499,0.6402395367622375,
1,,999,,0.832553505897522
1,9.999999747378752e-05,999,0.5277705192565918,
2,,1499,,0.9263103604316711
2,9.999999747378752e-05,1499,0.45473888516426086,
3,,1999,,0.5349765419960022
3,9.999999747378752e-05,1999,0.4134812355041504,
4,,2499,,0.5409243702888489
4,9.999999747378752e-05,2499,0.3678479492664337,
5,,2999,,0.9299681186676025
5,9.999999747378752e-05,2999,0.36282122135162354,
6,,3499,,0.5015926957130432
6,9.999999747378752e-05,3499,0.3406626582145691,
