epoch,learning_rate,step,train_loss,val_loss
0,,499,,0.897459864616394
0,9.999999747378752e-05,499,0.6402395367622375,
1,,999,,0.832553505897522
1,9.999999747378752e-05,999,0.5277705192565918,
2,,1499,,0.9263103604316711
2,9.999999747378752e-05,1499,0.45473888516426086,
3,,1999,,0.5349765419960022
3,9.999999747378752e-05,1999,0.4134812355041504,
4,,2499,,0.5409243702888489
4,9.999999747378752e-05,2499,0.3678479492664337,
5,,2999,,0.9299681186676025
5,9.999999747378752e-05,2999,0.36282122135162354,
6,,3499,,0.5015926957130432
6,9.999999747378752e-05,3499,0.3406626582145691,
7,,3999,,0.9304847717285156
7,9.999999747378752e-05,3999,0.32193443179130554,
8,,4499,,0.9174433946609497
8,9.999999747378752e-05,4499,0.326016366481781,
9,,4999,,0.930155873298645
9,9.999999747378752e-05,4999,0.3196578919887543,
10,,5499,,0.40915238857269287
10,9.999999747378752e-05,5499,0.31198233366012573,
11,,5999,,0.8220450282096863
11,9.999999747378752e-05,5999,0.30148911476135254,
12,,6499,,0.5955077409744263
12,9.999999747378752e-05,6499,0.299431174993515,
13,,6999,,0.9302706122398376
13,9.999999747378752e-05,6999,0.30751579999923706,
14,,7499,,0.8901881575584412
14,9.999999747378752e-05,7499,0.3008936643600464,
15,,7999,,0.9304777979850769
15,9.999999747378752e-05,7999,0.2904045581817627,
16,,8499,,0.9263793230056763
16,9.999999747378752e-05,8499,0.28011050820350647,
17,,8999,,0.6091744303703308
17,9.999999747378752e-05,8999,0.2943831980228424,
18,,9499,,0.6428791880607605
18,9.999999747378752e-05,9499,0.2926989495754242,
19,,9999,,0.8426864147186279
19,9.999999747378752e-05,9999,0.2840631604194641,
20,,10499,,0.28749510645866394
20,4.999999873689376e-06,10499,0.27037617564201355,
21,,10999,,0.2797963321208954
21,4.999999873689376e-06,10999,0.259469598531723,
22,,11499,,0.2855924069881439
22,4.999999873689376e-06,11499,0.2620409429073334,
23,,11999,,0.28624600172042847
23,4.999999873689376e-06,11999,0.2534840703010559,
24,,12499,,0.35623660683631897
24,4.999999873689376e-06,12499,0.2550133466720581,
25,,12999,,0.29452699422836304
25,4.999999873689376e-06,12999,0.2573309540748596,
26,,13499,,0.3375397026538849
26,4.999999873689376e-06,13499,0.25449734926223755,
27,,13999,,0.2686731517314911
27,4.999999873689376e-06,13999,0.2564339339733124,
28,,14499,,0.280758261680603
28,4.999999873689376e-06,14499,0.25138482451438904,
29,,14999,,0.302339643239975
29,4.999999873689376e-06,14999,0.24568569660186768,
30,,15499,,0.26676759123802185
30,4.999999873689376e-06,15499,0.24475756287574768,
31,,15999,,0.27631592750549316
31,4.999999873689376e-06,15999,0.2463291585445404,
32,,16499,,0.27095842361450195
32,4.999999873689376e-06,16499,0.2444840669631958,
33,,16999,,0.2726695239543915
33,4.999999873689376e-06,16999,0.24735678732395172,
34,,17499,,0.2638413906097412
34,4.999999873689376e-06,17499,0.25429680943489075,
35,,17999,,0.29960888624191284
35,4.999999873689376e-06,17999,0.24426645040512085,
36,,18499,,0.27759450674057007
36,4.999999873689376e-06,18499,0.24761873483657837,
37,,18999,,0.2788378596305847
37,4.999999873689376e-06,18999,0.2551925480365753,
38,,19499,,0.30899304151535034
38,4.999999873689376e-06,19499,0.24536561965942383,
39,,19999,,0.2637823820114136
39,4.999999873689376e-06,19999,0.2429831176996231,
40,,20499,,0.43169060349464417
40,4.999999873689376e-06,20499,0.24953089654445648,
41,,20999,,0.32534533739089966
41,4.999999873689376e-06,20999,0.24028824269771576,
42,,21499,,0.26397979259490967
42,4.999999873689376e-06,21499,0.24560602009296417,
43,,21999,,0.30335092544555664
43,4.999999873689376e-06,21999,0.23827539384365082,
44,,22499,,0.2723521888256073
44,4.999999873689376e-06,22499,0.24374733865261078,
45,,22999,,0.26639464497566223
45,4.999999873689376e-06,22999,0.24255764484405518,
46,,23499,,0.27218741178512573
46,4.999999873689376e-06,23499,0.24437038600444794,
47,,23999,,0.2863914966583252
47,4.999999873689376e-06,23999,0.24111950397491455,
48,,24499,,0.5098423957824707
48,4.999999873689376e-06,24499,0.23375627398490906,
49,,24999,,0.25627145171165466
49,2.499999993688107e-07,24999,0.2359154373407364,
