epoch,learning_rate,step,test_loss,train_loss,val_loss
0,,30,,,0.8766883611679077
0,0.0010000000474974513,30,,0.7093878984451294,
1,,61,,,0.9094299077987671
1,0.0010000000474974513,61,,0.6270818114280701,
2,,92,,,0.9207773804664612
2,0.0010000000474974513,92,,0.5745660066604614,
3,,123,,,0.9893920421600342
3,0.0010000000474974513,123,,0.5134009122848511,
4,,154,,,0.9893923401832581
4,0.0010000000474974513,154,,0.5365803241729736,
5,,185,,,0.9893925189971924
5,0.0010000000474974513,185,,0.5082383155822754,
6,,216,,,0.9893925189971924
6,0.0010000000474974513,216,,0.5222725868225098,
7,,247,,,0.9893925189971924
7,0.0010000000474974513,247,,0.494525671005249,
8,,278,,,0.9893925189971924
8,0.0010000000474974513,278,,0.5479132533073425,
9,,309,,,0.988899290561676
9,0.0010000000474974513,309,,0.510591983795166,
10,,340,,,0.9893852472305298
10,0.0010000000474974513,340,,0.512768566608429,
11,,371,,,0.9893925189971924
11,0.0010000000474974513,371,,0.4902750253677368,
12,,402,,,0.9893923401832581
12,0.0010000000474974513,402,,0.5331338047981262,
13,,433,,,0.8943389654159546
13,9.999999747378752e-05,433,,0.45641666650772095,
14,,464,,,0.8966825008392334
14,9.999999747378752e-05,464,,0.4568999707698822,
15,,495,,,0.9241815805435181
15,9.999999747378752e-05,495,,0.49970805644989014,
16,,526,,,0.9583412408828735
16,9.999999747378752e-05,526,,0.4766981899738312,
17,,557,,,0.8416198492050171
17,9.999999747378752e-05,557,,0.49874940514564514,
18,,588,,,0.7096010446548462
18,9.999999747378752e-05,588,,0.4557494819164276,
19,,619,,,0.7603293657302856
19,9.999999747378752e-05,619,,0.4352741539478302,
20,,650,,,0.9723518490791321
20,9.999999747378752e-05,650,,0.4375910460948944,
21,,681,,,0.7971632480621338
21,9.999999747378752e-05,681,,0.45453473925590515,
22,,712,,,0.46472328901290894
22,9.999999747378752e-06,712,,0.4540669023990631,
23,,743,,,0.4564613997936249
23,9.999999747378752e-06,743,,0.4487924873828888,
24,,774,,,0.4587489664554596
24,9.999999747378752e-06,774,,0.46994683146476746,
25,,805,,,0.4586159586906433
25,9.999999747378752e-06,805,,0.4481014311313629,
26,,836,,,0.45654022693634033
26,9.999999747378752e-06,836,,0.452962726354599,
27,,867,,,0.4639621376991272
27,9.999999747378752e-06,867,,0.4540857672691345,
28,,898,,,0.46125006675720215
28,9.999999747378752e-06,898,,0.43889451026916504,
29,,929,,,0.4555495083332062
29,9.999999747378752e-06,929,,0.45728257298469543,
30,,960,,,0.4633892774581909
30,9.999999747378752e-06,960,,0.43946346640586853,
31,,991,,,0.4610954523086548
31,9.999999974752427e-07,991,,0.4674361050128937,
32,,1022,,,0.45258578658103943
32,9.999999974752427e-07,1022,,0.48786449432373047,
33,,1053,,,0.45672503113746643
33,9.999999974752427e-07,1053,,0.4726063907146454,
34,,1084,,,0.4523184895515442
34,9.999999974752427e-07,1084,,0.46174898743629456,
35,,1115,,,0.45144134759902954
35,9.999999974752427e-07,1115,,0.457105815410614,
36,,1146,,,0.4568270444869995
36,9.999999974752427e-07,1146,,0.433377206325531,
37,,1177,,,0.4532027542591095
37,9.999999974752427e-07,1177,,0.41989707946777344,
38,,1208,,,0.46167412400245667
38,9.999999974752427e-07,1208,,0.45280057191848755,
39,,1239,,,0.4522862732410431
39,9.999999974752427e-07,1239,,0.45191657543182373,
40,,1270,,,0.45407116413116455
40,1.0000000116860974e-07,1270,,0.426897794008255,
41,,1301,,,0.45647093653678894
41,1.0000000116860974e-07,1301,,0.42399123311042786,
42,,1332,,,0.45306310057640076
42,1.0000000116860974e-07,1332,,0.43209415674209595,
43,,1363,,,0.4530070424079895
43,1.0000000116860974e-07,1363,,0.4798024594783783,
44,,1394,,,0.45175400376319885
44,1.0000000116860974e-07,1394,,0.423296183347702,
45,,1425,,,0.4565677344799042
45,1.0000000116860974e-07,1425,,0.46495532989501953,
46,,1456,,,0.45603495836257935
46,1.0000000116860974e-07,1456,,0.4466514587402344,
47,,1487,,,0.4574936330318451
47,1.0000000116860974e-07,1487,,0.4275403618812561,
48,,1518,,,0.4539839029312134
48,1.0000000116860974e-07,1518,,0.4639253616333008,
49,,1549,,,0.45163509249687195
49,9.99999993922529e-09,1549,,0.48205873370170593,
50,,1550,0.46159324049949646,,
