epoch,learning_rate,step,test_crossentropy_loss,test_dice_loss,test_loss,train_crossentropy_loss,train_dice_loss,train_loss,val_crossentropy_loss,val_dice_loss,val_loss
0,,30,,,,,,,1.7108107805252075,0.7660485506057739,2.4768598079681396
0,9.999999747378752e-05,30,,,,1.4834377765655518,0.7893737554550171,2.2728118896484375,,,
1,,61,,,,,,,1.9261542558670044,0.7733156681060791,2.699470043182373
1,9.999999747378752e-05,61,,,,1.3518705368041992,0.7544942498207092,2.1063649654388428,,,
2,,92,,,,,,,1.5161432027816772,0.715052604675293,2.2311959266662598
2,9.999999747378752e-05,92,,,,1.2378767728805542,0.7150006294250488,1.9528775215148926,,,
3,,123,,,,,,,2.7069668769836426,0.7748250365257263,3.481790542602539
3,9.999999747378752e-05,123,,,,1.1910936832427979,0.6995410323143005,1.8906346559524536,,,
4,,154,,,,,,,1.840329647064209,0.7185247540473938,2.558854579925537
4,9.999999747378752e-05,154,,,,1.212401270866394,0.6896694302558899,1.90207040309906,,,
5,,185,,,,,,,4.235458850860596,0.8212054967880249,5.0566630363464355
5,9.999999747378752e-05,185,,,,1.157020926475525,0.6625019907951355,1.8195229768753052,,,
6,,216,,,,,,,3.006108283996582,0.733771562576294,3.739879608154297
6,9.999999747378752e-05,216,,,,1.1127933263778687,0.6586496829986572,1.7714430093765259,,,
7,,247,,,,,,,1.7253870964050293,0.7169528007507324,2.4423398971557617
7,9.999999747378752e-05,247,,,,1.1476058959960938,0.6610977053642273,1.8087037801742554,,,
8,,278,,,,,,,1.751631498336792,0.733578085899353,2.4852094650268555
8,9.999999747378752e-05,278,,,,1.1246846914291382,0.6587954163551331,1.7834802865982056,,,
9,,309,,,,,,,1.7076419591903687,0.6987643837928772,2.406406879425049
9,9.999999747378752e-05,309,,,,1.0943825244903564,0.6382277607917786,1.7326101064682007,,,
10,,340,,,,,,,2.009000301361084,0.7027968764305115,2.711798667907715
10,9.999999747378752e-05,340,,,,1.0824663639068604,0.6355001926422119,1.7179665565490723,,,
11,,371,,,,,,,1.8356728553771973,0.7142496705055237,2.5499229431152344
11,9.999999747378752e-05,371,,,,1.089404821395874,0.653104841709137,1.7425097227096558,,,
12,,402,,,,,,,1.07058584690094,0.565845251083374,1.6364314556121826
12,9.999999747378752e-06,402,,,,1.0879517793655396,0.6279953718185425,1.715947151184082,,,
13,,433,,,,,,,1.0420554876327515,0.5453544855117798,1.5874102115631104
13,9.999999747378752e-06,433,,,,0.9975616931915283,0.6071102023124695,1.6046720743179321,,,
14,,464,,,,,,,0.9912438988685608,0.5328806638717651,1.5241247415542603
14,9.999999747378752e-06,464,,,,0.9168670773506165,0.5898968577384949,1.5067638158798218,,,
15,,495,,,,,,,0.9930302500724792,0.5337485671043396,1.5267785787582397
15,9.999999747378752e-06,495,,,,1.0270732641220093,0.6135287880897522,1.6406018733978271,,,
16,,526,,,,,,,1.0839653015136719,0.550175130367279,1.6341397762298584
16,9.999999747378752e-06,526,,,,0.9631180763244629,0.6063912510871887,1.5695093870162964,,,
17,,557,,,,,,,1.0610167980194092,0.5512736439704895,1.612290859222412
17,9.999999747378752e-06,557,,,,0.9648187756538391,0.6049841642379761,1.56980299949646,,,
18,,588,,,,,,,1.0133676528930664,0.5392876863479614,1.5526561737060547
18,9.999999747378752e-06,588,,,,0.9497759938240051,0.598394513130188,1.5481706857681274,,,
19,,619,,,,,,,1.0527085065841675,0.5345102548599243,1.5872184038162231
19,9.999999747378752e-06,619,,,,0.9408996105194092,0.5977309346199036,1.538630723953247,,,
20,,650,,,,,,,1.045735478401184,0.5394358038902283,1.585170865058899
20,9.999999747378752e-06,650,,,,0.9998955130577087,0.6113114356994629,1.6112070083618164,,,
21,,681,,,,,,,0.9949564933776855,0.5281444787979126,1.5231002569198608
21,9.999999747378752e-06,681,,,,0.9657527208328247,0.5958913564682007,1.5616443157196045,,,
22,,712,,,,,,,0.9803743958473206,0.522334098815918,1.5027081966400146
22,9.999999747378752e-06,712,,,,0.9272637963294983,0.5820068717002869,1.5092709064483643,,,
23,,743,,,,,,,1.0662728548049927,0.5379818677902222,1.604254961013794
23,9.999999747378752e-06,743,,,,0.9783655405044556,0.6019028425216675,1.5802685022354126,,,
24,,774,,,,,,,1.0351526737213135,0.526444673538208,1.5615954399108887
24,9.999999747378752e-06,774,,,,0.9448950290679932,0.5935953259468079,1.5384904146194458,,,
25,,805,,,,,,,0.9674268960952759,0.5205600261688232,1.4879868030548096
25,9.999999747378752e-06,805,,,,1.0047688484191895,0.606232762336731,1.6110014915466309,,,
26,,836,,,,,,,0.9983944296836853,0.5255240201950073,1.5239183902740479
26,9.999999747378752e-06,836,,,,0.8946728110313416,0.5742712616920471,1.4689439535140991,,,
27,,867,,,,,,,1.0111017227172852,0.5271473526954651,1.5382487773895264
27,9.999999747378752e-06,867,,,,0.9290528297424316,0.5809339284896851,1.5099867582321167,,,
28,,898,,,,,,,0.9790380597114563,0.5292921662330627,1.5083309412002563
28,9.999999747378752e-06,898,,,,0.895404577255249,0.5780186057090759,1.4734230041503906,,,
29,,929,,,,,,,1.0204181671142578,0.5232605338096619,1.5436789989471436
29,9.999999747378752e-06,929,,,,0.9438171982765198,0.5899952054023743,1.5338126420974731,,,
30,,960,,,,,,,0.9557138085365295,0.5188409090042114,1.4745557308197021
30,9.999999747378752e-06,960,,,,0.9019858241081238,0.5746272206306458,1.47661292552948,,,
31,,991,,,,,,,1.1133874654769897,0.5426439642906189,1.6560319662094116
31,9.999999747378752e-06,991,,,,0.9033597111701965,0.5739147663116455,1.4772742986679077,,,
32,,1022,,,,,,,0.9781945943832397,0.5274426341056824,1.5056376457214355
32,9.999999747378752e-06,1022,,,,0.8866323232650757,0.5671262145042419,1.453758716583252,,,
33,,1053,,,,,,,1.0819495916366577,0.5376990437507629,1.6196497678756714
33,9.999999747378752e-06,1053,,,,0.9284733533859253,0.5746490359306335,1.5031225681304932,,,
34,,1084,,,,,,,1.0668039321899414,0.5441097021102905,1.6109135150909424
34,9.999999747378752e-06,1084,,,,0.9444409012794495,0.5752747058868408,1.519715428352356,,,
35,,1115,,,,,,,0.954448938369751,0.521473228931427,1.4759221076965332
35,9.999999747378752e-06,1115,,,,0.936776340007782,0.589628279209137,1.5264047384262085,,,
36,,1146,,,,,,,0.9586324095726013,0.5202800035476685,1.478912353515625
36,9.999999747378752e-06,1146,,,,0.9151957631111145,0.5813584923744202,1.4965543746948242,,,
37,,1177,,,,,,,0.9559618234634399,0.5106819868087769,1.4666438102722168
37,9.999999747378752e-06,1177,,,,0.883299708366394,0.5646303296089172,1.4479303359985352,,,
38,,1208,,,,,,,0.9604960680007935,0.5193644165992737,1.4798606634140015
38,9.999999747378752e-06,1208,,,,0.9279045462608337,0.5737500190734863,1.5016545057296753,,,
39,,1239,,,,,,,1.0079337358474731,0.5216266512870789,1.5295603275299072
39,9.999999747378752e-06,1239,,,,0.8962646126747131,0.5710750222206116,1.4673396348953247,,,
40,,1270,,,,,,,1.0986136198043823,0.5354693531990051,1.6340827941894531
40,9.999999747378752e-06,1270,,,,0.92817223072052,0.5703521370887756,1.4985243082046509,,,
41,,1301,,,,,,,0.9764816761016846,0.5154772996902466,1.4919590950012207
41,9.999999747378752e-06,1301,,,,0.8857561945915222,0.5715886354446411,1.457344889640808,,,
42,,1332,,,,,,,1.0274949073791504,0.5243613719940186,1.5518563985824585
42,9.999999747378752e-06,1332,,,,0.9250428676605225,0.5739873647689819,1.499030590057373,,,
43,,1363,,,,,,,0.9433206915855408,0.5162121653556824,1.4595328569412231
43,9.999999747378752e-06,1363,,,,0.8627365827560425,0.5655332207679749,1.428269624710083,,,
44,,1394,,,,,,,1.0045853853225708,0.5148501396179199,1.5194354057312012
44,9.999999747378752e-06,1394,,,,0.9354260563850403,0.5769461989402771,1.5123722553253174,,,
45,,1425,,,,,,,0.94356769323349,0.5092114806175232,1.4527788162231445
45,9.999999747378752e-06,1425,,,,0.7957837581634521,0.5522014498710632,1.3479851484298706,,,
46,,1456,,,,,,,0.9823631644248962,0.5056722164154053,1.4880355596542358
46,9.999999747378752e-06,1456,,,,0.867990255355835,0.5602350831031799,1.4282253980636597,,,
47,,1487,,,,,,,1.000022053718567,0.5134016871452332,1.513424038887024
47,9.999999747378752e-06,1487,,,,0.8804101347923279,0.5614101886749268,1.441820502281189,,,
48,,1518,,,,,,,0.9776409864425659,0.5173395276069641,1.4949806928634644
48,9.999999747378752e-06,1518,,,,0.9103405475616455,0.579828679561615,1.4901690483093262,,,
49,,1549,,,,,,,1.0015382766723633,0.5061164498329163,1.5076541900634766
49,9.999999747378752e-06,1549,,,,0.8380058407783508,0.5472145676612854,1.3852204084396362,,,
50,,1550,0.8786013126373291,0.5712288022041321,1.4498307704925537,,,,,,
