epoch,learning_rate,step,train_crossentropy_loss,train_dice_loss,train_loss,val_crossentropy_loss,val_dice_loss,val_loss
0,,61,,,,3.5918757915496826,0.6848894953727722,4.276766300201416
0,9.999999747378752e-05,61,3.766669273376465,0.8053674101829529,4.5720367431640625,,,
1,,123,,,,3.360675573348999,0.6522905826568604,4.012964725494385
1,9.999999747378752e-05,123,3.2388951778411865,0.7938196063041687,4.032713890075684,,,
2,,185,,,,3.3921263217926025,0.6650159955024719,4.057141304016113
2,9.999999747378752e-05,185,3.0347535610198975,0.7615436911582947,3.796297788619995,,,
3,,247,,,,3.0736963748931885,0.6481909155845642,3.721888780593872
3,9.999999747378752e-05,247,2.844223737716675,0.7609738707542419,3.6051976680755615,,,
4,,309,,,,3.2021398544311523,0.6420528292655945,3.8441927433013916
4,9.999999747378752e-05,309,2.7089874744415283,0.7421204447746277,3.4511075019836426,,,
5,,371,,,,3.31522798538208,0.6732518076896667,3.9884793758392334
5,9.999999747378752e-05,371,2.565638303756714,0.7217976450920105,3.2874369621276855,,,
6,,433,,,,3.237903594970703,0.6809229850769043,3.9188272953033447
6,9.999999747378752e-05,433,2.502258777618408,0.714288592338562,3.216548442840576,,,
7,,495,,,,3.3251051902770996,0.6546238660812378,3.9797301292419434
7,9.999999747378752e-05,495,2.382091999053955,0.6821591854095459,3.0642518997192383,,,
8,,557,,,,3.3087363243103027,0.6846025586128235,3.9933407306671143
8,9.999999747378752e-05,557,2.2938811779022217,0.6833090782165527,2.9771904945373535,,,
9,,619,,,,2.8881454467773438,0.6469851136207581,3.5351290702819824
9,9.999999747378752e-05,619,2.269338846206665,0.6844394207000732,2.9537782669067383,,,
10,,681,,,,3.5692362785339355,0.7070903182029724,4.2763261795043945
10,9.999999747378752e-05,681,2.1623282432556152,0.6768561601638794,2.839184284210205,,,
11,,743,,,,2.868562936782837,0.66484534740448,3.5334081649780273
11,9.999999747378752e-05,743,2.1558187007904053,0.6489307284355164,2.8047492504119873,,,
12,,805,,,,3.195676326751709,0.6807113289833069,3.8763866424560547
12,9.999999747378752e-05,805,2.0293867588043213,0.6414027214050293,2.6707894802093506,,,
13,,867,,,,2.211129665374756,0.5608029365539551,2.7719333171844482
13,9.999999747378752e-05,867,1.984392523765564,0.6398874521255493,2.6242804527282715,,,
14,,929,,,,2.3932294845581055,0.6018630266189575,2.995091676712036
14,9.999999747378752e-05,929,1.957025170326233,0.6207879185676575,2.577813148498535,,,
15,,991,,,,4.222125053405762,0.726047158241272,4.948168754577637
15,9.999999747378752e-05,991,1.9537265300750732,0.6165702939033508,2.5702967643737793,,,
16,,1053,,,,3.21053147315979,0.6914570927619934,3.9019885063171387
16,9.999999747378752e-05,1053,1.8911523818969727,0.6065738797187805,2.4977264404296875,,,
17,,1115,,,,3.2485837936401367,0.6569879651069641,3.9055721759796143
17,9.999999747378752e-05,1115,1.8085228204727173,0.5790693163871765,2.387592077255249,,,
18,,1177,,,,3.63835072517395,0.6802157163619995,4.318567752838135
18,9.999999747378752e-05,1177,1.825955867767334,0.5890291929244995,2.4149856567382812,,,
19,,1239,,,,3.30985951423645,0.6889139413833618,3.9987728595733643
19,9.999999747378752e-05,1239,1.8396120071411133,0.5914748311042786,2.431086778640747,,,
20,,1301,,,,4.092163562774658,0.7204247117042542,4.812588214874268
20,9.999999747378752e-05,1301,1.7510844469070435,0.5749331116676331,2.326017379760742,,,
21,,1363,,,,2.3500163555145264,0.5656959414482117,2.915712594985962
21,9.999999747378752e-05,1363,1.7407902479171753,0.5526799559593201,2.2934703826904297,,,
22,,1425,,,,4.000964164733887,0.7144572734832764,4.715423107147217
22,9.999999747378752e-05,1425,1.6560895442962646,0.5564162135124207,2.21250581741333,,,
23,,1487,,,,1.8599804639816284,0.46231648325920105,2.3222973346710205
23,9.999999747378752e-06,1487,1.6223373413085938,0.5427606701850891,2.165098190307617,,,
24,,1549,,,,1.7614725828170776,0.44091561436653137,2.202387809753418
24,9.999999747378752e-06,1549,1.638378620147705,0.5292160511016846,2.1675949096679688,,,
25,,1611,,,,1.7134171724319458,0.44033142924308777,2.1537487506866455
25,9.999999747378752e-06,1611,1.624895691871643,0.5317190885543823,2.1566150188446045,,,
26,,1673,,,,1.8105080127716064,0.44409430027008057,2.254603862762451
26,9.999999747378752e-06,1673,1.5949803590774536,0.5297536253929138,2.1247336864471436,,,
27,,1735,,,,1.7481456995010376,0.4398481845855713,2.1879942417144775
27,9.999999747378752e-06,1735,1.611938714981079,0.522459089756012,2.1343979835510254,,,
28,,1797,,,,1.795881986618042,0.4429090917110443,2.2387890815734863
28,9.999999747378752e-06,1797,1.5970385074615479,0.522149920463562,2.119187831878662,,,
29,,1859,,,,1.788783311843872,0.44604969024658203,2.2348341941833496
29,9.999999747378752e-06,1859,1.5587306022644043,0.5111026167869568,2.069833755493164,,,
30,,1921,,,,1.7105214595794678,0.4449111521244049,2.155433177947998
30,9.999999747378752e-06,1921,1.644302487373352,0.5436566472053528,2.1879594326019287,,,
31,,1983,,,,1.757772445678711,0.44254979491233826,2.2003209590911865
31,9.999999747378752e-06,1983,1.620363473892212,0.5294480323791504,2.1498115062713623,,,
32,,2045,,,,1.7499499320983887,0.4464825391769409,2.1964313983917236
32,9.999999747378752e-06,2045,1.5832295417785645,0.5209144353866577,2.1041438579559326,,,
33,,2107,,,,1.747426986694336,0.4440196752548218,2.1914474964141846
